Feature importance (gain) for FLOKI/USDT
==================================================
efficiency_ratio_10                 : 61.050339
volatility_regime                   : 9.021682
supertrend                          : 7.772021
atr_band_position                   : 7.292095
starc_position                      : 6.763737
market_phase                        : 6.238603
rolling_resistance                  : 5.987519
returns_1h_decay_mean_24            : 4.682586
fib_range_pct                       : 4.601962
fib_dist_236                        : 4.434670
dist_bull_ob                        : 4.377902
ema_200                             : 4.370711
vwap_decay_std_24                   : 4.311536
dist_vwap                           : 4.244832
keltner_width                       : 4.226510
avwap_200                           : 4.132277
close_decay_std_24                  : 4.061871
atr_14                              : 4.058631
returns_1h_decay_std_24             : 4.041317
btc_dist_ema200                     : 4.028990
hurst                               : 4.005596
rvi_osc                             : 3.984891
rsi_21                              : 3.893640
dist_ema_200                        : 3.892829
pct_dist_to_resistance              : 3.855873
vwap                                : 3.852047
fib_dist_500                        : 3.831881
donchian_width                      : 3.819025
dist_ema_100                        : 3.787061
historical_volatility               : 3.741986
