Feature importance (gain) for GALA/USDT
==================================================
efficiency_ratio_10                 : 38.959919
macro_confluence_score              : 28.468874
prc_total                           : 25.440134
atr_band_position                   : 15.196626
starc_position                      : 9.443201
regime_high_vol                     : 7.348338
dist_vwap                           : 7.200106
ema_stack_alignment                 : 5.942270
donchian_position                   : 5.463346
supertrend_dir                      : 5.172725
ppo                                 : 5.159376
fib_range_pct                       : 5.033275
ret_1h                              : 5.022977
volatility_regime                   : 4.960674
rvi_osc                             : 4.944616
volume_delta                        : 4.726233
ret_24h                             : 4.682318
prc_trend                           : 4.671126
trix_15                             : 4.416687
atr_pct                             : 4.329372
ppo_signal                          : 4.217234
btc_dist_ema200                     : 4.197873
ichi_dist_cloud_top                 : 3.981569
close_decay_mean_24                 : 3.932135
dist_ema_100                        : 3.918793
ema_slope_50                        : 3.874626
dist_r2                             : 3.836159
atr_percentile                      : 3.717701
bands_confluence                    : 3.707126
rel_perf_24h                        : 3.695650
