Feature importance (gain) for GMX/USDT
==================================================
efficiency_ratio_10                 : 161.125580
linreg_r2_14                        : 49.407688
obv                                 : 26.985413
atr_band_position                   : 26.422874
starc_position                      : 26.383108
dist_vwap                           : 25.791929
supertrend                          : 25.438444
ema_100                             : 24.440708
pvt                                 : 22.149038
parkinson_vol                       : 22.146984
s2                                  : 22.129148
fvg_distance                        : 22.050903
avwap_200                           : 21.396790
gk_vol                              : 20.989582
fib_range_pct                       : 20.165342
dpo_20                              : 20.164930
vwap                                : 19.990881
eom_14                              : 19.491272
returns_1h_decay_std_24             : 19.214943
btc_dist_ema200                     : 19.049541
rolling_support                     : 18.707325
dist_avwap_200                      : 18.601231
rolling_volatility                  : 18.457443
vwap_decay_mean_24                  : 18.214262
ema_200                             : 18.017069
close_decay_mean_24                 : 17.624744
dist_r2                             : 17.491493
avwap_100                           : 17.339554
ichimoku_senkou_b                   : 16.833637
linreg_slope_14                     : 16.784712
