Feature importance (gain) for GRT/USDT
==================================================
macro_confluence_score              : 21.104708
prc_total                           : 20.213980
atr_band_position                   : 13.199800
regime_high_vol                     : 10.718350
trend_confluence                    : 9.738222
starc_position                      : 8.981175
rvi_osc                             : 6.497447
volatility_regime                   : 6.412503
ema_slope_21                        : 5.043468
bb_pct_b                            : 5.011374
atr_percentile                      : 4.481168
volatility_ratio                    : 4.180113
linreg_slope_14                     : 4.138127
atr_pct                             : 3.914694
prc_trend                           : 3.886467
dist_vwap                           : 3.740298
cci_20                              : 3.644645
btc_corr_24h                        : 3.602400
parkinson_vol                       : 3.483483
dist_ema_21                         : 3.386796
ema_slope_9                         : 3.322288
ret_12h                             : 3.315234
fisher                              : 3.309481
fib_range_pct                       : 3.278282
bands_confluence                    : 3.258260
prc_bands                           : 3.256577
rvi_sig                             : 3.213973
ichi_above_cloud                    : 3.193256
adx_14                              : 3.191578
vwap_delta_4                        : 3.179658
