Feature importance (gain) for HBAR/USDT
==================================================
prc_total                           : 85.447906
macro_confluence_score              : 73.680908
prc_momentum                        : 20.794685
efficiency_ratio_10                 : 20.318419
trend_consistency_20                : 8.511662
volatility_kurt                     : 8.326551
fib_range_pct                       : 8.253366
supertrend_dist                     : 8.036201
macd                                : 7.997481
dist_r2                             : 7.995554
dist_r1                             : 7.922566
rolling_buy_ratio                   : 7.811577
btc_dist_ema200                     : 7.654280
aroon_up                            : 7.583849
macd_hist_velocity                  : 7.460437
pct_dist_to_resistance              : 7.444942
dist_ema_200                        : 7.350285
hour_cos                            : 7.151566
keltner_width                       : 7.062186
pvt                                 : 7.020103
entropy                             : 6.977786
ichi_dist_cloud_top                 : 6.954003
tsi                                 : 6.915785
btc_ratio_ma_dist                   : 6.910614
prc_smart_money                     : 6.907103
macd_signal                         : 6.889030
dist_s2                             : 6.829936
atr_percentile                      : 6.816876
dist_avwap_200                      : 6.626330
rolling_volatility                  : 6.535608
