Feature importance (gain) for HIGH/USDT
==================================================
efficiency_ratio_10                 : 27.227865
market_phase                        : 5.387890
volatility_regime                   : 3.700705
linreg_r2_14                        : 3.465313
weekly_bos_down                     : 3.133086
atr_band_position                   : 3.065221
starc_position                      : 2.962477
weekly_rsi                          : 2.480978
dow_sin                             : 2.213078
close                               : 2.132198
weekly_macd_signal                  : 2.106092
fib_dist_236                        : 2.087111
volume_decay_mean_24                : 2.056497
dist_vwap                           : 2.046046
ichimoku_senkou_a                   : 1.951464
returns_1h_decay_std_24             : 1.869967
volume_decay_std_24                 : 1.867812
fib_range_pct                       : 1.841828
awesome_osc                         : 1.767577
btc_corr_24h                        : 1.748733
kvo_signal                          : 1.664054
schaff_tc                           : 1.642956
weekly_macd_hist                    : 1.636434
weekly_macd                         : 1.604305
dow_cos                             : 1.587493
btc_ratio_ma_dist                   : 1.563557
keltner_width                       : 1.554844
macd_signal                         : 1.539774
atr_14                              : 1.488008
cmf_20                              : 1.472022
