Feature importance (gain) for ICP/USDT
==================================================
macro_confluence_score              : 80.164940
prc_total                           : 62.553257
efficiency_ratio_10                 : 26.004766
prc_momentum                        : 25.144627
prc_trend                           : 11.739191
dist_ema_100                        : 7.712187
dist_ema_200                        : 7.537903
btc_dist_ema200                     : 7.512020
donchian_position                   : 7.468472
atr_band_position                   : 7.103568
hurst                               : 7.045975
btc_corr_24h                        : 6.906250
supertrend_dist                     : 6.881723
fib_dist_618                        : 6.872487
price_zscore_200                    : 6.855786
ichi_dist_cloud_top                 : 6.767807
dist_r2                             : 6.756134
rel_perf_24h                        : 6.668786
prc_bands                           : 6.668621
pct_dist_to_support                 : 6.647392
aroon_up                            : 6.597504
dist_avwap_200                      : 6.579999
kst_signal                          : 6.575402
rolling_volatility                  : 6.574007
price_disp_atr_pct                  : 6.541583
dist_r1                             : 6.522078
ultimate_osc                        : 6.482862
funding_cum_8                       : 6.461121
dist_bear_ob                        : 6.456912
funding_rate_zscore                 : 6.454219
