Feature importance (gain) for IMX/USDT
==================================================
macro_confluence_score              : 37.454815
prc_total                           : 30.363144
starc_position                      : 16.807194
rvi_osc                             : 8.420163
atr_band_position                   : 7.377782
total_confluence                    : 7.176413
dist_vwap                           : 6.866026
bb_pct_b                            : 5.701300
prc_trend                           : 5.693116
ret_12h                             : 5.470257
volatility_regime                   : 5.442314
sar_trend                           : 5.327368
dist_r1                             : 5.168814
obv_divergence                      : 4.918908
keltner_width                       : 4.916977
dist_ema_9                          : 4.883314
rsi_7                               : 4.621565
ema_slope_9                         : 4.600307
atr_percentile                      : 4.592773
dist_bull_ob                        : 4.591915
sar_dist                            : 4.585925
ret_4h                              : 4.518041
bb_width_percentile                 : 4.297870
supertrend_dist                     : 4.281245
dist_r2                             : 4.205622
volatility_ratio                    : 4.148744
ema_slope_21                        : 4.136062
returns_4h                          : 4.128152
tsi                                 : 4.078321
obv_slope_20                        : 4.053362
