Feature importance (gain) for INJ/USDT
==================================================
efficiency_ratio_10                 : 25.955595
trend_regime                        : 5.569238
volatility_regime                   : 4.896627
market_phase                        : 4.805142
vwap                                : 3.885117
linreg_r2_14                        : 3.621133
weekly_macd_signal                  : 3.361035
weekly_macd                         : 3.186586
avwap_100                           : 3.147974
ema_21                              : 3.060061
fib_dist_236                        : 3.045439
vwap_decay_std_24                   : 2.998839
pvt                                 : 2.891274
ichimoku_senkou_a                   : 2.854633
volume_decay_mean_24                : 2.834923
fib_range_pct                       : 2.832213
acc_dist                            : 2.775100
rolling_support                     : 2.755901
historical_volatility               : 2.740697
dist_ema_200                        : 2.690859
weekly_rsi                          : 2.663309
dist_vwap                           : 2.634584
volume_decay_std_24                 : 2.582404
dist_avwap_200                      : 2.574772
atr_band_position                   : 2.555422
starc_position                      : 2.438898
gk_vol                              : 2.391121
price_zscore_200                    : 2.390954
rolling_volatility                  : 2.390850
force_index                         : 2.286736
