Feature importance (gain) for IO/USDT
==================================================
efficiency_ratio_10                 : 66.672661
trend_regime                        : 17.071686
linreg_r2_14                        : 11.367277
market_phase                        : 11.093615
volatility_regime                   : 9.495328
keltner_width                       : 8.490166
starc_position                      : 8.287356
fib_range_pct                       : 7.288563
atr_band_position                   : 6.928501
vwap_decay_mean_24                  : 6.505331
avwap_100                           : 6.491818
ema_200                             : 6.438729
close_decay_std_24                  : 6.096189
vwap_decay_std_24                   : 6.093624
dist_bear_ob                        : 6.075116
avwap_200                           : 5.991876
hurst                               : 5.901114
dist_avwap_100                      : 5.779449
vwap                                : 5.753846
dist_r2                             : 5.602965
high                                : 5.547096
pvt                                 : 5.535048
gk_vol                              : 5.190599
weekly_macd                         : 5.161288
adx_14                              : 4.959647
volume_decay_mean_24                : 4.915250
dist_bull_ob                        : 4.842074
returns_1h_decay_std_24             : 4.700748
dow_sin                             : 4.575234
dist_avwap_50                       : 4.541133
