Feature importance (gain) for JUP/USDT
==================================================
prc_total                           : 80.815208
macro_confluence_score              : 72.888168
efficiency_ratio_10                 : 19.323284
prc_momentum                        : 12.567983
starc_position                      : 9.689839
prc_trend                           : 7.868116
prc_bands                           : 6.295724
fib_dist_236                        : 5.535793
lower_low_count_20                  : 5.436873
dist_bear_ob                        : 5.307278
fib_dist_618                        : 5.253934
atr_expansion                       : 5.156715
hurst                               : 5.135097
rsi_slope_14                        : 5.075219
aroon_osc                           : 5.060450
hour_sin                            : 5.028783
higher_high_count_20                : 4.995576
dist_kama                           : 4.964292
dist_ema_50                         : 4.962117
price_zscore_200                    : 4.954495
kst_signal                          : 4.924740
ppo                                 : 4.914505
rel_perf_24h                        : 4.904743
kst                                 : 4.886789
tsi                                 : 4.885899
close_delta_12                      : 4.827680
vol_confirm_ratio                   : 4.766379
funding_rate_zscore                 : 4.759000
linreg_r2_14                        : 4.746174
sar_dist                            : 4.733850
