Feature importance (gain) for KNC/USDT
==================================================
efficiency_ratio_10                 : 118.944283
volatility_regime                   : 21.113894
linreg_r2_14                        : 18.223373
market_phase                        : 13.799698
weekly_rsi                          : 12.748932
ichimoku_tenkan                     : 11.736150
hurst                               : 11.643130
atr_band_position                   : 11.349076
fib_range_pct                       : 11.036649
trend_regime                        : 10.778281
vwap_decay_mean_24                  : 10.645717
vwap                                : 10.561808
dist_rolling_vwap                   : 10.475887
returns_1h_decay_mean_24            : 10.090079
volume_decay_std_24                 : 9.840654
starc_position                      : 9.691131
dist_vwap                           : 9.632277
parkinson_vol                       : 9.468016
vwap_decay_std_24                   : 9.437125
ichimoku_senkou_a                   : 9.176793
dist_avwap_50                       : 9.169643
bb_width_percentile                 : 9.157797
volume_decay_mean_24                : 9.037613
kvo                                 : 8.979186
dist_bear_ob                        : 8.849987
weekly_macd_hist                    : 8.833032
aroon_osc                           : 8.721653
rsi_7                               : 8.578544
kvo_signal                          : 8.500147
pvt                                 : 8.491119
