Feature importance (gain) for LDO/USDT
==================================================
prc_total                           : 100.447411
macro_confluence_score              : 89.194382
efficiency_ratio_10                 : 32.523304
prc_momentum                        : 30.427652
prc_trend                           : 18.199154
prc_bands                           : 16.974133
atr_band_position                   : 14.782724
funding_rate_zscore                 : 10.639409
ret_24h                             : 10.304973
aroon_up                            : 9.122012
aroon_osc                           : 8.991198
rvi_vol                             : 8.633241
macd_signal                         : 8.266532
dist_r1                             : 8.250410
dist_pivot                          : 8.125957
stoch_slope                         : 8.012880
stoch_k                             : 8.000485
ema_stack_distance                  : 7.979069
prc_volume                          : 7.976266
rel_perf_24h                        : 7.721480
dist_avwap_200                      : 7.633057
trix_15                             : 7.594306
elder_bull                          : 7.544816
parkinson_vol                       : 7.514076
lower_low_count_20                  : 7.467491
kst_signal                          : 7.455488
rolling_volatility                  : 7.407466
supertrend_dist                     : 7.373551
linreg_r2_14                        : 7.299874
atr_expansion                       : 7.260383
