Feature importance (gain) for LINK/USDT
==================================================
macro_confluence_score              : 77.974236
prc_total                           : 64.087585
efficiency_ratio_10                 : 23.871593
prc_trend                           : 16.165604
prc_momentum                        : 10.492517
dist_avwap_100                      : 9.793989
fib_dist_382                        : 8.840440
fib_dist_236                        : 8.285607
lower_low_count_20                  : 8.115998
dist_avwap_200                      : 7.461267
rolling_volatility                  : 7.432693
ema_alignment                       : 7.224484
volatility_ratio                    : 7.165703
btc_dist_ema200                     : 7.101144
fib_range_pct                       : 7.001249
obv                                 : 6.875589
candle_pressure                     : 6.804710
volatility_regime                   : 6.786853
dist_s1                             : 6.772855
atr_percentile                      : 6.645223
funding_rate_zscore                 : 6.597633
btc_ratio_ma_dist                   : 6.594549
macd_hist                           : 6.458426
pct_dist_to_support                 : 6.458331
price_disp_atr_pct                  : 6.434138
ichi_dist_cloud_top                 : 6.418813
tsi                                 : 6.348848
dist_r2                             : 6.305846
dist_ema_200                        : 6.305466
vi_minus                            : 6.304759
