Feature importance (gain) for LTC/USDT
==================================================
prc_total                           : 22.295759
macro_confluence_score              : 22.072056
atr_band_position                   : 11.307226
starc_position                      : 9.495984
rvi_osc                             : 4.373549
atr_percentile                      : 3.804678
prc_momentum                        : 3.706308
sar_trend                           : 3.612162
volatility_regime                   : 3.609870
bb_pct_b                            : 3.443095
regime_high_vol                     : 3.384050
rsi_14                              : 3.160307
cci_20                              : 3.118693
cmo_14                              : 3.069011
ema_slope_21                        : 2.992067
total_confluence                    : 2.820263
linreg_slope_14                     : 2.779044
rsi_slope_14                        : 2.771214
schaff_tc                           : 2.606431
volatility_skew                     : 2.602374
aroon_up                            : 2.588789
higher_high_count_20                : 2.546842
ema_alignment                       : 2.542605
dist_kama                           : 2.517477
elder_bull_bear                     : 2.510455
swing_strength_20                   : 2.489440
volatility_ratio                    : 2.480583
dist_ema_50                         : 2.440789
lower_low_count_20                  : 2.422644
dist_ema_21                         : 2.359755
