Feature importance (gain) for MAGIC/USDT
==================================================
efficiency_ratio_10                 : 66.096733
volatility_regime                   : 11.352193
market_phase                        : 9.678720
weekly_structure_bias               : 9.235220
linreg_r2_14                        : 8.840414
trend_regime                        : 8.147155
atr_band_position                   : 7.386205
fib_dist_618                        : 5.845227
cmf_20                              : 5.462432
fib_range_pct                       : 5.433502
vwap                                : 5.351348
volume_decay_mean_24                : 5.351326
close_decay_std_24                  : 5.292936
dist_bear_ob                        : 5.249970
dist_avwap_200                      : 5.223021
dist_vwap                           : 5.119148
weekly_macd_hist                    : 5.104123
dist_ema_200                        : 5.096820
aroon_osc                           : 5.026127
weekly_macd                         : 4.861653
vwap_decay_std_24                   : 4.834774
volume_decay_std_24                 : 4.834140
s1                                  : 4.737009
kvo                                 : 4.727612
kvo_signal                          : 4.720685
weekly_macd_signal                  : 4.589450
adx_14                              : 4.475263
dist_bull_ob                        : 4.426006
kst_signal                          : 4.260578
dist_r2                             : 4.244585
