Feature importance (gain) for MANA/USDT
==================================================
prc_total                           : 23.625999
macro_confluence_score              : 20.175007
regime_high_vol                     : 15.311043
atr_band_position                   : 9.571408
starc_position                      : 8.692278
momentum_confluence                 : 8.226180
bb_pct_b                            : 5.993576
volatility_regime                   : 5.647030
prc_trend                           : 5.264448
total_confluence                    : 5.253438
rvi_osc                             : 5.035967
bands_confluence                    : 5.019116
dist_rolling_vwap                   : 4.233955
obv_divergence                      : 4.101435
is_squeeze                          : 3.990107
ema_slope_9                         : 3.856870
ichi_above_cloud                    : 3.682776
donchian_position                   : 3.667340
dist_vwap                           : 3.653703
ema_alignment                       : 3.533309
atr_percentile                      : 3.489309
fib_dist_382                        : 3.477726
regime_low_vol                      : 3.387567
ret_12h                             : 3.336306
supertrend_dir                      : 3.304470
elder_bull                          : 3.289454
cmo_14                              : 3.280836
prc_momentum                        : 3.082683
btc_dist_ema200                     : 3.023363
fib_dist_236                        : 2.971484
