Feature importance (gain) for MINA/USDT
==================================================
efficiency_ratio_10                 : 40.252628
prc_total                           : 31.472717
macro_confluence_score              : 27.733356
regime_high_vol                     : 14.651828
starc_position                      : 9.450464
prc_momentum                        : 7.393690
prc_trend                           : 6.770548
bands_confluence                    : 5.837760
volatility_regime                   : 5.549175
atr_band_position                   : 5.061113
rvi_osc                             : 4.664824
range_position_score                : 4.524517
market_regime_code                  : 4.516034
is_at_support                       : 4.298275
supertrend_dir                      : 3.901542
supertrend_dist                     : 3.752970
dist_s1                             : 3.693009
price_zscore_200                    : 3.567594
momentum_confluence                 : 3.560214
dist_pivot                          : 3.473586
force_index                         : 3.437368
ret_24h                             : 3.436229
dist_bull_ob                        : 3.395153
btc_dist_ema200                     : 3.386757
volatility_ratio                    : 3.345038
bb_pct_b                            : 3.334667
rsi_slope_14                        : 3.302243
is_squeeze                          : 3.294916
dist_avwap_50                       : 3.262925
dist_r2                             : 3.247087
