Feature importance (gain) for MTL/USDT
==================================================
efficiency_ratio_10                 : 103.574936
linreg_r2_14                        : 12.564868
volatility_regime                   : 9.498159
fib_range_pct                       : 6.995734
avwap_200                           : 6.272071
starc_position                      : 6.111563
market_phase                        : 5.637413
atr_band_position                   : 5.433444
keltner_width                       : 5.376579
trend_regime                        : 5.195886
vwap_decay_std_24                   : 5.038373
pvt                                 : 4.976418
ichimoku_senkou_b                   : 4.773452
dist_vwap                           : 4.742208
macd_signal                         : 4.652192
fib_dist_236                        : 4.614634
returns_1h_decay_std_24             : 4.506664
dist_s2                             : 4.504667
rolling_volatility                  : 4.502695
schaff_tc                           : 4.345072
volume_decay_std_24                 : 4.237807
fib_dist_618                        : 4.099553
dist_r2                             : 4.047842
close_decay_std_24                  : 3.935447
gk_vol                              : 3.781101
adx_14                              : 3.651859
entropy                             : 3.648183
funding_rate_zscore                 : 3.566741
rel_perf_24h                        : 3.561478
btc_ratio_ma_dist                   : 3.412972
