Feature importance (gain) for NEAR/USDT
==================================================
macro_confluence_score              : 91.909653
prc_total                           : 78.972824
efficiency_ratio_10                 : 26.739744
prc_momentum                        : 25.244364
prc_trend                           : 19.487049
atr_band_position                   : 13.598480
williams_r                          : 11.764397
prc_bands                           : 9.879882
dist_ema_9                          : 8.491124
supertrend_dist                     : 8.458293
pct_dist_to_support                 : 8.346570
sar_dist                            : 7.557409
ichi_dist_kijun                     : 7.388354
prc_smart_money                     : 7.283012
dist_r2                             : 7.127215
ema_stack_distance                  : 7.091970
close_delta_4                       : 6.942370
quantile_position                   : 6.745470
volume_delta_12                     : 6.588098
fib_range_pct                       : 6.504033
sqz_momentum                        : 6.439988
close_delta_12                      : 6.437934
hour_sin                            : 6.430626
keltner_width                       : 6.417601
dist_bull_ob                        : 6.284641
linreg_r2_14                        : 6.283334
funding_slope_8                     : 6.229287
parkinson_vol                       : 6.185598
pct_dist_to_resistance              : 6.177552
tsi                                 : 6.168465
