Feature importance (gain) for NEO/USDT
==================================================
macro_confluence_score              : 29.362232
prc_total                           : 20.820278
starc_position                      : 14.049621
elder_bull_bear                     : 12.160998
atr_band_position                   : 11.895507
prc_momentum                        : 10.759525
close_delta_12                      : 6.826549
rvi_osc                             : 6.624387
atr_pct                             : 6.318509
volatility_regime                   : 6.182976
dist_vwap                           : 6.099522
ret_12h                             : 5.547375
dist_pivot                          : 5.428926
prc_trend                           : 5.243411
volatility_ratio                    : 5.217351
ichi_above_cloud                    : 5.206644
total_confluence                    : 4.854247
ichi_dist_kijun                     : 4.632879
bb_width_percentile                 : 4.624083
ema_slope_9                         : 4.585614
dist_r1                             : 4.498384
vwap_delta_12                       : 4.473044
ichi_dist_cloud_top                 : 4.432303
bands_confluence                    : 4.418884
bos_down                            : 4.346777
tsi                                 : 4.274194
returns_1h_decay_mean_24            : 4.215611
rsi_7                               : 4.209842
donchian_position                   : 4.193441
quantile_position                   : 4.188176
