Feature importance (gain) for NIGHT/USDT
==================================================
efficiency_ratio_10                 : 33.415989
linreg_r2_14                        : 8.781928
volatility_regime                   : 4.048763
ret_12h                             : 3.991462
vwap_decay_std_24                   : 3.645628
ichimoku_kijun                      : 3.423465
dist_ema_9                          : 3.337445
ema_21                              : 3.188097
keltner_lower                       : 3.032865
williams_r                          : 2.800871
dist_ema_50                         : 2.543214
adx_14                              : 2.488170
vwap_decay_mean_24                  : 2.425395
dist_ema_200                        : 2.399249
choppiness                          : 2.298496
ema_200                             : 2.248267
vwap                                : 2.166762
bb_width_percentile                 : 2.052269
macd_signal                         : 1.996847
ichimoku_chikou                     : 1.974738
volatility_skew                     : 1.737995
