Feature importance (gain) for ONDO/USDT
==================================================
efficiency_ratio_10                 : 39.092091
linreg_r2_14                        : 8.875575
volatility_regime                   : 5.836814
ema_200                             : 4.861927
dist_ema_9                          : 4.740878
ichimoku_chikou                     : 4.289810
dist_ema_21                         : 4.133960
ema_100                             : 3.945147
ema_50                              : 3.737659
force_index                         : 3.684248
choppiness                          : 3.602612
historical_volatility               : 3.550137
bb_width_percentile                 : 3.442127
acc_dist                            : 3.360169
macd_hist                           : 3.304803
stoch_d                             : 3.121933
