Feature importance (gain) for ONG/USDT
==================================================
efficiency_ratio_10                 : 50.190353
volatility_regime                   : 9.893741
dist_weekly_ema200                  : 6.104881
linreg_r2_14                        : 6.063684
ichimoku_senkou_b                   : 5.977330
market_phase                        : 5.903673
atr_band_position                   : 5.895243
weekly_macd                         : 5.856854
pct_dist_to_resistance              : 5.814879
hurst                               : 5.684916
weekly_macd_signal                  : 5.670546
pvt                                 : 5.436736
dist_vwap                           : 5.299263
dist_ema_200                        : 5.282271
rolling_volatility                  : 5.209964
avwap_200                           : 5.090303
vwap_decay_std_24                   : 5.072889
atr_14                              : 4.825931
vwap                                : 4.738780
fib_range_pct                       : 4.636547
dist_s2                             : 4.550591
cmf_20                              : 4.514056
historical_volatility               : 4.396667
force_index                         : 4.372019
starc_position                      : 4.345589
dist_rolling_vwap                   : 4.298427
funding_rate_zscore                 : 4.292907
dist_r2                             : 4.277975
dow_sin                             : 4.270165
dist_r1                             : 4.256447
