Feature importance (gain) for OP/USDT
==================================================
prc_total                           : 87.674492
macro_confluence_score              : 82.763680
efficiency_ratio_10                 : 23.677542
prc_trend                           : 13.566146
prc_momentum                        : 10.148754
sqz_on                              : 9.582664
aroon_up                            : 9.163253
dist_bull_ob                        : 8.393627
starc_position                      : 7.930583
macd                                : 7.619505
vol_confirm_ratio                   : 7.339417
dist_avwap_100                      : 7.198707
aroon_osc                           : 7.161779
dist_r1                             : 7.092582
volatility_ratio                    : 7.028312
dist_bear_ob                        : 7.007677
volatility_regime                   : 6.969639
price_zscore_200                    : 6.934794
volume_zscore                       : 6.875171
elder_bear                          : 6.868715
atr_percentile                      : 6.845392
volatility_skew                     : 6.759698
bb_width_percentile                 : 6.691834
macd_hist                           : 6.680840
atr_expansion                       : 6.680257
atr_band_position                   : 6.665933
rsi_7                               : 6.643425
fib_dist_382                        : 6.629630
macd_signal                         : 6.590280
dist_avwap_50                       : 6.569980
