Feature importance (gain) for ORDI/USDT
==================================================
macro_confluence_score              : 19.621004
prc_total                           : 16.748402
atr_band_position                   : 9.047332
starc_position                      : 7.842208
rvi_osc                             : 4.824314
prc_momentum                        : 4.660308
volatility_regime                   : 3.999984
ema_slope_21                        : 3.814572
bb_pct_b                            : 3.758431
bands_confluence                    : 3.489172
atr_percentile                      : 3.340787
linreg_slope_14                     : 3.217157
higher_high_count_20                : 3.166243
macd_divergence                     : 2.998934
prc_trend                           : 2.988501
momentum_confluence                 : 2.943026
macd_hist                           : 2.903051
ichi_dist_kijun                     : 2.680373
ppo                                 : 2.656555
rsi_14                              : 2.615629
dist_vwap                           : 2.587772
close_delta_12                      : 2.571874
dist_ema_50                         : 2.527705
macd                                : 2.514356
rsi_slope_14                        : 2.505724
cmo_14                              : 2.495682
williams_r                          : 2.461863
se_position                         : 2.457262
choppiness                          : 2.431963
dist_ema_9                          : 2.411243
