Feature importance (gain) for PENDLE/USDT
==================================================
macro_confluence_score              : 104.959763
prc_total                           : 54.784294
efficiency_ratio_10                 : 22.597723
prc_trend                           : 11.113243
aroon_down                          : 7.719270
prc_smart_money                     : 7.288843
dist_s1                             : 7.278165
hurst                               : 7.228375
dist_pivot                          : 6.922791
prc_volume                          : 6.856272
adx_14                              : 6.623152
lower_low_count_20                  : 6.571737
fib_dist_382                        : 6.422772
fib_range_pct                       : 6.405626
prc_bands                           : 6.334904
dist_bear_ob                        : 6.331937
ichi_dist_cloud_top                 : 6.324473
fib_dist_618                        : 6.313907
dow_cos                             : 6.258629
price_zscore_200                    : 6.253514
entropy                             : 6.248268
dist_r1                             : 6.237812
elder_bull                          : 6.230296
aroon_osc                           : 6.158358
macd_hist                           : 6.087813
rvi_sig                             : 6.058991
obv                                 : 6.055814
sqz_momentum                        : 6.036657
parkinson_vol                       : 6.023582
volume_delta_14                     : 5.917068
