Feature importance (gain) for PEPE/USDT
==================================================
efficiency_ratio_10                 : 67.666092
starc_position                      : 14.148691
volatility_regime                   : 12.050869
dist_vwap                           : 11.538296
atr_band_position                   : 11.025710
fib_range_pct                       : 9.850904
volatility_kurt                     : 9.261174
weekly_macd                         : 9.249758
vwap_decay_mean_24                  : 8.929092
market_phase                        : 8.661405
hurst                               : 8.483843
volatility_skew                     : 8.406955
vwap_decay_std_24                   : 8.058230
vwap                                : 7.897322
weekly_ema200                       : 7.739763
weekly_macd_hist                    : 7.601085
btc_dist_ema200                     : 7.415698
ichimoku_senkou_b                   : 7.294418
parkinson_vol                       : 7.234449
avwap_200                           : 7.181100
returns_1h_decay_std_24             : 7.176771
s2                                  : 7.108562
dow_sin                             : 7.043601
rolling_volatility                  : 6.941370
dist_ema_200                        : 6.906668
btc_ratio_ma_dist                   : 6.839386
keltner_width                       : 6.794789
close_decay_std_24                  : 6.758742
dist_avwap_200                      : 6.708736
weekly_rsi                          : 6.655701
