Feature importance (gain) for POLYX/USDT
==================================================
efficiency_ratio_10                 : 83.052139
linreg_r2_14                        : 14.853087
volatility_regime                   : 12.813520
atr_band_position                   : 11.346366
weekly_ema200                       : 7.204619
starc_position                      : 7.092868
dist_bear_ob                        : 6.931965
atr_14                              : 6.919168
pvt                                 : 6.423984
weekly_macd_hist                    : 6.164795
weekly_rsi                          : 5.894551
adx_14                              : 5.871600
cmf_20                              : 5.726158
hurst                               : 5.701020
fib_range_pct                       : 5.693794
dist_vwap                           : 5.645464
volume_decay_mean_24                : 5.547560
ichimoku_senkou_b                   : 5.536901
weekly_macd                         : 5.494825
market_phase                        : 5.385031
vwap                                : 5.354913
trend_regime                        : 5.278908
volume_decay_std_24                 : 5.269176
macd_signal                         : 5.169084
returns_1h_decay_std_24             : 5.163213
vwap_decay_std_24                   : 5.079047
eom_14                              : 5.047207
close_decay_std_24                  : 4.999051
dist_bull_ob                        : 4.871140
rolling_volatility                  : 4.825042
