Feature importance (gain) for POL/USDT
==================================================
efficiency_ratio_10                 : 68.866432
linreg_r2_14                        : 14.290631
market_phase                        : 6.924926
volatility_regime                   : 6.914328
atr_band_position                   : 6.775099
starc_position                      : 6.399333
aroon_up                            : 5.603255
weekly_macd                         : 5.303938
weekly_ema200                       : 5.057788
trend_regime                        : 4.636281
dist_vwap                           : 4.347932
vwap_decay_mean_24                  : 4.297854
fib_range_pct                       : 4.265197
vwap                                : 4.201647
aroon_osc                           : 4.188808
ema_100                             : 3.769516
tsi                                 : 3.759190
dist_avwap_200                      : 3.717275
dist_ema_200                        : 3.694959
bb_width_percentile                 : 3.593667
donchian_width                      : 3.591314
rolling_volatility                  : 3.591013
fib_dist_236                        : 3.464276
vwap_decay_std_24                   : 3.432428
close_decay_std_24                  : 3.430685
avwap_100                           : 3.413849
entropy                             : 3.368892
btc_dist_ema200                     : 3.359317
dpo_20                              : 3.264308
adx_14                              : 3.175589
