Feature importance (gain) for PYTH/USDT
==================================================
macro_confluence_score              : 70.861893
prc_total                           : 47.810188
prc_trend                           : 20.474716
efficiency_ratio_10                 : 19.135279
btc_ratio_ma_dist                   : 7.479720
dist_avwap_100                      : 7.251444
aroon_up                            : 7.250604
prc_momentum                        : 7.232444
ppo                                 : 6.601146
dist_s2                             : 6.518195
sqz_momentum                        : 6.471446
ppo_signal                          : 6.401437
btc_dist_ema200                     : 6.366029
funding_cum_8                       : 6.317207
ret_24h                             : 6.252246
sar_dist                            : 6.233395
fib_dist_618                        : 6.205274
funding_slope_8                     : 6.152097
aroon_osc                           : 6.068583
dist_kama                           : 6.038496
dist_ema_200                        : 6.037099
fib_range_pct                       : 6.010576
dist_ema_21                         : 6.009429
macd_signal                         : 5.963111
quantile_position                   : 5.958518
dist_pivot                          : 5.908925
supertrend_dist                     : 5.828097
vi_minus                            : 5.794437
kst                                 : 5.783234
returns_4h                          : 5.779711
