Feature importance (gain) for QTUM/USDT
==================================================
efficiency_ratio_10                 : 52.553452
volatility_regime                   : 6.374273
atr_band_position                   : 5.573446
linreg_r2_14                        : 5.569185
trend_regime                        : 5.033219
funding_rate                        : 3.801440
starc_position                      : 3.646930
funding_rate_ma8                    : 3.513428
vwap_decay_mean_24                  : 3.220642
vwap                                : 3.212441
gk_vol                              : 3.159565
keltner_lower                       : 3.066404
supertrend                          : 3.009104
weekly_macd_hist                    : 2.931633
vwap_decay_std_24                   : 2.887563
parkinson_vol                       : 2.822763
adx_14                              : 2.614885
volume_decay_std_24                 : 2.462518
ema_200                             : 2.448509
weekly_macd_signal                  : 2.340590
fib_range_pct                       : 2.311983
dist_ema_100                        : 2.297430
volume_decay_mean_24                : 2.293756
rolling_volatility                  : 2.175905
returns_1h_decay_std_24             : 2.168075
kvo_signal                          : 2.056597
weekly_macd                         : 2.013974
dist_bull_ob                        : 2.008043
keltner_width                       : 1.994812
close_decay_std_24                  : 1.936391
