Feature importance (gain) for RAD/USDT
==================================================
efficiency_ratio_10                 : 21.492155
s2                                  : 3.293899
volatility_regime                   : 2.924740
starc_position                      : 2.853686
s1                                  : 2.778837
market_phase                        : 2.458400
dist_r2                             : 2.129195
volume_decay_std_24                 : 1.905657
volume_decay_mean_24                : 1.878052
vwap                                : 1.804909
supertrend                          : 1.719241
atr_band_position                   : 1.717736
avwap_50                            : 1.706568
pct_dist_to_resistance              : 1.663993
quantile_position                   : 1.573742
linreg_r2_14                        : 1.553287
fib_range_pct                       : 1.533858
ichimoku_senkou_b                   : 1.525928
weekly_rsi                          : 1.523378
weekly_macd_hist                    : 1.453371
dist_vwap                           : 1.404870
vwap_decay_std_24                   : 1.368952
dow_sin                             : 1.291001
adx_14                              : 1.190579
weekly_macd_signal                  : 1.186298
dist_s2                             : 1.153111
dist_bull_ob                        : 1.149899
dist_avwap_100                      : 1.143464
dist_bear_ob                        : 1.130752
donchian_width                      : 1.098167
