Feature importance (gain) for RAY/USDT
==================================================
efficiency_ratio_10                 : 139.059738
linreg_r2_14                        : 36.624996
atr_band_position                   : 19.681467
volatility_regime                   : 14.534454
starc_position                      : 12.274546
rolling_resistance                  : 11.914347
market_phase                        : 11.615988
trend_regime                        : 10.949898
avwap_100                           : 10.035428
gk_vol                              : 9.163004
returns_1h_decay_std_24             : 9.062754
aroon_osc                           : 9.047182
hurst                               : 9.010210
vwap_decay_mean_24                  : 8.956203
r2                                  : 8.849205
dist_vwap                           : 8.678340
r1                                  : 8.519454
ema_50                              : 8.422782
avwap_200                           : 8.420161
close                               : 8.393622
macd_signal                         : 8.141264
vwap                                : 8.114539
rolling_volatility                  : 8.048337
adx_14                              : 7.978536
volume_decay_mean_24                : 7.772407
close_decay_mean_24                 : 7.628228
fib_range_pct                       : 7.464001
parkinson_vol                       : 7.359597
keltner_width                       : 7.234934
pvt                                 : 7.227446
