Feature importance (gain) for RENDER/USDT
==================================================
efficiency_ratio_10                 : 56.881844
volatility_regime                   : 6.664532
trend_regime                        : 6.563025
linreg_r2_14                        : 6.299568
williams_r                          : 2.965382
adx_14                              : 2.444191
cmf_20                              : 2.078804
ichimoku_chikou                     : 2.052870
ret_24h                             : 2.007033
ichimoku_senkou_b                   : 1.972099
vwap                                : 1.971950
ema_200                             : 1.911389
atr_14                              : 1.830228
aroon_osc                           : 1.606994
btc_corr_24h                        : 1.599907
