Feature importance (gain) for RUNE/USDT
==================================================
efficiency_ratio_10                 : 63.418640
volatility_regime                   : 11.925885
market_phase                        : 11.258888
linreg_r2_14                        : 10.745834
linreg_slope_14                     : 9.037599
close                               : 8.992295
vwap_decay_mean_24                  : 8.585581
atr_14                              : 8.528501
vwap                                : 8.447211
gk_vol                              : 8.049714
fib_range_pct                       : 7.691656
low                                 : 7.642807
price_zscore_200                    : 7.412185
ema_100                             : 6.923714
rolling_vwap_24                     : 6.775388
pct_dist_to_support                 : 6.762705
donchian_width                      : 6.673679
eom_14                              : 6.635170
adx_14                              : 6.561511
dist_vwap                           : 6.555183
close_decay_std_24                  : 6.491795
pvt                                 : 6.464427
fib_dist_236                        : 6.453169
dow_sin                             : 6.450007
rolling_support                     : 6.383936
parkinson_vol                       : 6.261684
btc_dist_ema200                     : 6.254449
dist_avwap_200                      : 6.231396
avwap_50                            : 6.173044
bb_width_percentile                 : 6.162341
