Feature importance (gain) for SAND/USDT
==================================================
macro_confluence_score              : 85.202293
prc_total                           : 84.636887
efficiency_ratio_10                 : 22.428787
prc_momentum                        : 9.775013
rolling_buy_ratio                   : 6.863606
macd_signal                         : 6.684786
ppo                                 : 6.477117
dist_avwap_200                      : 6.352188
pvt                                 : 6.324992
pct_dist_to_support                 : 5.948376
starc_position                      : 5.808733
volatility_skew                     : 5.800328
macd_hist                           : 5.786102
obv                                 : 5.758963
dist_r2                             : 5.642354
adx_14                              : 5.636523
price_zscore_200                    : 5.408387
atr_percentile                      : 5.381324
dist_s1                             : 5.373099
rel_perf_24h                        : 5.325357
bb_width_percentile                 : 5.259063
hour_sin                            : 5.235271
fib_dist_500                        : 5.195926
sqz_momentum                        : 5.164202
donchian_position                   : 5.141623
atr_pct                             : 5.130402
ichi_dist_cloud_top                 : 5.103957
dist_ema_200                        : 5.095127
atr_band_position                   : 5.072832
dist_bear_ob                        : 5.062156
