Feature importance (gain) for SEI/USDT
==================================================
macro_confluence_score              : 105.274223
prc_total                           : 83.242905
efficiency_ratio_10                 : 25.383749
prc_momentum                        : 20.927597
prc_trend                           : 11.871819
dist_ema_200                        : 10.500071
fib_range_pct                       : 10.234682
dist_ema_100                        : 9.691774
dist_kama                           : 9.417377
dist_avwap_50                       : 9.399352
ema_stack_distance                  : 9.201194
price_disp_atr_pct                  : 8.938180
ret_24h                             : 8.889711
price_zscore_200                    : 8.637632
fib_dist_236                        : 8.518798
rolling_volatility                  : 8.410757
prc_volume                          : 8.354334
ichi_dist_kijun                     : 8.317465
schaff_tc                           : 8.221220
btc_dist_ema200                     : 8.116904
btc_corr_24h                        : 7.908401
starc_position                      : 7.861713
funding_cum_8                       : 7.829669
lower_low_count_20                  : 7.829144
bb_pct_b                            : 7.808790
parkinson_vol                       : 7.758132
dow_sin                             : 7.589337
entropy                             : 7.570354
aroon_up                            : 7.506386
higher_high_count_20                : 7.502223
