Feature importance (gain) for SHIB/USDT
==================================================
prc_total                           : 58.201233
macro_confluence_score              : 54.101524
starc_position                      : 25.162756
atr_band_position                   : 22.481966
prc_trend                           : 16.850451
elder_bull                          : 14.846721
bb_pct_b                            : 14.606761
prc_momentum                        : 13.648942
adx_14                              : 13.113799
regime_high_vol                     : 10.952129
volume_confluence                   : 10.309484
elder_bull_bear                     : 10.052348
supertrend_dir                      : 10.004946
prc_bands                           : 9.890908
total_confluence                    : 9.621934
volatility_regime                   : 8.809566
ret_12h                             : 8.770096
volatility_ratio                    : 8.311246
ichi_above_cloud                    : 8.252632
is_at_resistance                    : 8.107505
ema_slope_21                        : 7.781555
rvi_osc                             : 7.752948
pvt                                 : 7.574761
lower_low_count_20                  : 7.264555
cmf_20                              : 7.130921
keltner_width                       : 7.098035
bands_confluence                    : 7.070252
sar_trend                           : 7.033340
regime_low_vol                      : 6.927715
is_at_support                       : 6.900447
