Feature importance (gain) for SKY/USDT
==================================================
efficiency_ratio_10                 : 140.277191
linreg_r2_14                        : 34.163582
volatility_regime                   : 21.688616
market_phase                        : 15.576113
ema_50                              : 14.529693
vwap_delta_12                       : 13.997202
ret_12h                             : 13.926210
low                                 : 12.693604
trend_regime                        : 12.377748
dist_ema_9                          : 12.288005
atr_14                              : 11.396382
open                                : 10.821092
choppiness                          : 10.130978
high                                : 10.079695
ichimoku_kijun                      : 9.808568
close_decay_mean_24                 : 9.741862
linreg_slope_14                     : 9.682044
ichimoku_tenkan                     : 9.453797
close_delta_12                      : 8.998473
dist_ema_50                         : 8.750334
dist_ema_100                        : 8.333560
ichimoku_chikou                     : 8.193973
vwap_delta_4                        : 8.063076
dist_vwap                           : 8.047073
adx_14                              : 7.908881
fvg_distance                        : 7.834929
dist_ema_21                         : 7.746327
williams_r                          : 7.597838
returns_1h_decay_mean_24            : 7.198009
dist_ema_200                        : 7.180131
