Feature importance (gain) for SLP/USDT
==================================================
efficiency_ratio_10                 : 122.338707
atr_band_position                   : 25.113262
starc_position                      : 24.398684
volatility_regime                   : 16.935829
market_phase                        : 13.391327
fib_range_pct                       : 12.767916
weekly_rsi                          : 12.005919
avwap_200                           : 11.990017
vwap                                : 11.846105
vwap_decay_std_24                   : 11.717518
awesome_osc                         : 11.711984
fib_dist_236                        : 11.591380
donchian_width                      : 11.045019
vwap_delta_12                       : 11.031857
weekly_macd_hist                    : 10.995173
dist_s2                             : 10.909289
cmf_20                              : 10.686046
weekly_macd_signal                  : 10.612256
pct_dist_to_resistance              : 10.603582
price_zscore_200                    : 10.568565
close_decay_std_24                  : 10.159531
dist_r1                             : 10.061002
pct_dist_to_support                 : 9.838492
dist_s1                             : 9.753373
keltner_width                       : 9.646788
btc_dist_ema200                     : 9.619502
parkinson_vol                       : 9.596272
dist_vwap                           : 9.570910
macd_signal                         : 9.452845
returns_1h_decay_std_24             : 9.289428
