Feature importance (gain) for SOL/USDT
==================================================
regime_high_vol                     : 25.052237
macro_confluence_score              : 20.171705
prc_total                           : 19.887520
is_at_resistance                    : 14.222420
starc_position                      : 11.305789
atr_band_position                   : 7.065841
volatility_regime                   : 6.540923
atr_percentile                      : 6.379927
bb_pct_b                            : 6.056800
rvi_osc                             : 4.680602
cmo_14                              : 3.855178
rolling_buy_ratio                   : 3.828486
ema_slope_100                       : 3.753036
prc_momentum                        : 3.613065
rsi_14                              : 3.451364
dist_rolling_vwap                   : 3.432031
dist_ema_200                        : 3.422502
price_zscore_200                    : 3.401424
hour_cos                            : 3.393297
supertrend_dir                      : 3.322236
ichi_cloud_bull                     : 3.320611
returns_1h_decay_mean_24            : 3.315922
dist_ema_21                         : 3.306252
range_position_score                : 3.264039
volatility_ratio                    : 3.243119
sar_trend                           : 3.235249
dist_ema_100                        : 3.196249
ema_stack_distance                  : 3.147636
ema_50_200_cross                    : 3.122504
donchian_position                   : 3.043314
