Feature importance (gain) for STORJ/USDT
==================================================
macro_confluence_score              : 76.262009
prc_total                           : 68.883469
efficiency_ratio_10                 : 19.347740
prc_momentum                        : 14.282669
dist_avwap_100                      : 7.505953
prc_smart_money                     : 6.986051
prc_trend                           : 6.348531
ichi_dist_tenkan                    : 6.121508
dist_ema_200                        : 5.957162
btc_dist_ema200                     : 5.918908
dist_ema_50                         : 5.796843
ret_24h                             : 5.506537
pvt                                 : 5.386315
dow_cos                             : 5.370203
price_zscore_200                    : 5.296169
hurst                               : 5.283079
parkinson_vol                       : 5.210482
obv                                 : 5.136101
atr_expansion                       : 5.133350
tsi                                 : 5.091142
dist_avwap_200                      : 5.082612
rolling_volatility                  : 5.081313
volatility_regime                   : 5.070604
dist_s1                             : 5.016882
funding_rate_zscore                 : 5.011671
aroon_osc                           : 4.979365
dist_pivot                          : 4.964348
dist_bear_ob                        : 4.933849
returns_1h_delta_1                  : 4.900141
fib_range_pct                       : 4.883749
