Feature importance (gain) for STRK/USDT
==================================================
macro_confluence_score              : 135.800201
prc_total                           : 117.720512
prc_trend                           : 46.115166
prc_momentum                        : 45.411087
efficiency_ratio_10                 : 34.908112
bb_pct_b                            : 22.179920
total_confluence                    : 18.869709
fib_range_pct                       : 16.925072
rolling_volatility                  : 16.276724
volatility_regime                   : 15.476696
price_disp_atr_pct                  : 15.229269
dist_avwap_200                      : 14.684808
ichi_cloud_bull                     : 14.336077
trend_confluence                    : 14.291337
fib_dist_618                        : 13.963850
dist_s2                             : 13.876954
vol_confirm_ratio                   : 13.842236
obv                                 : 13.561914
dist_ema_100                        : 13.504842
funding_rate_zscore                 : 13.470817
ema_stack_distance                  : 13.406437
schaff_tc                           : 13.266138
adx_14                              : 13.198565
quantile_position                   : 13.117261
rsi_slope_14                        : 12.932599
volatility_ratio                    : 12.737678
dist_r2                             : 12.690832
higher_high_count_20                : 12.682673
fib_dist_236                        : 12.658185
parkinson_vol                       : 12.549767
