Feature importance (gain) for STX/USDT
==================================================
efficiency_ratio_10                 : 55.449787
linreg_r2_14                        : 12.872642
atr_band_position                   : 7.496386
volatility_regime                   : 5.892146
market_phase                        : 5.743239
trend_regime                        : 5.596501
s1                                  : 5.339199
ema_200                             : 4.135115
vwap_decay_mean_24                  : 4.077963
atr_14                              : 4.024292
keltner_width                       : 3.733167
fib_range_pct                       : 3.709367
vwap                                : 3.621759
ichimoku_senkou_a                   : 3.535483
avwap_50                            : 3.508226
vwap_decay_std_24                   : 3.216972
dist_ema_200                        : 2.954263
dist_vwap                           : 2.903546
parkinson_vol                       : 2.881008
adx_14                              : 2.876259
pvt                                 : 2.870597
dow_sin                             : 2.734216
vwap_delta_12                       : 2.708819
weekly_macd_hist                    : 2.697593
donchian_width                      : 2.653287
fib_dist_500                        : 2.648872
kvo_signal                          : 2.638758
cmf_20                              : 2.619548
rolling_volatility                  : 2.570690
returns_1h_decay_std_24             : 2.515619
