Feature importance (gain) for SUI/USDT
==================================================
prc_total                           : 67.257439
macro_confluence_score              : 56.137047
prc_momentum                        : 23.980915
efficiency_ratio_10                 : 19.147884
starc_position                      : 7.596548
price_zscore_200                    : 6.006401
vi_minus                            : 5.576847
higher_high_count_20                : 5.492498
dist_bull_ob                        : 5.384708
elder_bull                          : 5.360700
prc_bands                           : 5.349157
total_confluence                    : 5.346490
dist_avwap_50                       : 5.315395
aroon_osc                           : 5.314019
schaff_tc                           : 5.207801
obv                                 : 5.172928
volatility_ratio                    : 5.104523
dist_ema_200                        : 5.081991
entropy                             : 4.931596
dist_s2                             : 4.930419
atr_pct                             : 4.913046
prc_volume                          : 4.862138
ret_24h                             : 4.821769
fib_range_pct                       : 4.769835
aroon_up                            : 4.750008
price_disp_atr_pct                  : 4.740718
rel_perf_24h                        : 4.696864
rvi_osc                             : 4.690125
kst_signal                          : 4.664578
volatility_regime                   : 4.652394
