Feature importance (gain) for SUN/USDT
==================================================
efficiency_ratio_10                 : 79.239326
linreg_r2_14                        : 21.316410
close_delta_12                      : 16.421774
starc_position                      : 15.373664
volatility_regime                   : 14.222518
s2                                  : 13.774160
atr_band_position                   : 13.384472
linreg_slope_14                     : 10.727038
macd_hist                           : 9.727654
dist_weekly_sma200                  : 9.618005
pivot                               : 9.495912
vwap_delta_12                       : 9.185214
vwap_delta_4                        : 9.133330
trend_regime                        : 9.045095
keltner_lower                       : 8.488997
close_decay_std_24                  : 8.023440
fib_range_pct                       : 7.813070
donchian_width                      : 7.737673
market_phase                        : 7.722889
dist_vwap                           : 7.605137
weekly_sma200                       : 7.548572
atr_14                              : 7.526083
btc_dist_ema200                     : 7.417127
weekly_macd                         : 7.331580
vwap                                : 7.285767
vwap_decay_std_24                   : 7.269914
r2                                  : 7.242240
dist_avwap_100                      : 7.157680
ichimoku_senkou_b                   : 7.035316
dist_bull_ob                        : 6.882926
