Feature importance (gain) for TAO/USDT
==================================================
prc_total                           : 25.745634
macro_confluence_score              : 25.549593
starc_position                      : 13.786796
momentum_confluence                 : 12.899723
bb_pct_b                            : 11.919246
atr_band_position                   : 10.399682
rvi_osc                             : 6.362683
ret_12h                             : 5.227827
vi_minus                            : 5.172944
prc_momentum                        : 5.012681
linreg_slope_14                     : 5.004508
market_phase                        : 4.963913
elder_bull_bear                     : 4.800712
market_regime_code                  : 4.786961
dist_avwap_50                       : 4.703193
volatility_regime                   : 4.519512
atr_percentile                      : 4.185558
rsi_slope_14                        : 4.074671
ichi_dist_tenkan                    : 4.033355
ema_alignment                       : 3.839270
ret_4h                              : 3.834275
gaussian_position                   : 3.763268
kvo                                 : 3.762634
prc_trend                           : 3.696104
dist_rolling_vwap                   : 3.671234
dist_vwap                           : 3.643183
kvo_signal                          : 3.585704
sar_trend                           : 3.556476
btc_ratio_ma_dist                   : 3.541952
cmf_20                              : 3.468989
