Feature importance (gain) for THETA/USDT
==================================================
prc_total                           : 98.817116
macro_confluence_score              : 60.251904
efficiency_ratio_10                 : 17.532892
prc_momentum                        : 11.948753
dist_r2                             : 8.830368
hurst                               : 8.721036
btc_dist_ema200                     : 8.140524
parkinson_vol                       : 8.000814
elder_bull                          : 8.000172
quantile_position                   : 7.579750
pvt                                 : 7.206655
ichi_dist_kijun                     : 7.095624
supertrend_dist                     : 7.050758
trend_consistency_20                : 7.040368
funding_rate_zscore                 : 7.025517
dist_ema_200                        : 6.964620
obv                                 : 6.878862
fib_dist_382                        : 6.790846
dist_bull_ob                        : 6.690327
mfi_14                              : 6.686643
price_zscore_200                    : 6.679847
lower_low_count_20                  : 6.675491
dist_avwap_100                      : 6.670147
vol_confirm_ratio                   : 6.644185
ema_stack_distance                  : 6.636460
fib_dist_236                        : 6.331067
kst_signal                          : 6.271205
se_position                         : 6.266187
aroon_osc                           : 6.247925
dist_bear_ob                        : 6.174703
