Feature importance (gain) for TIA/USDT
==================================================
prc_total                           : 103.950684
macro_confluence_score              : 78.460442
efficiency_ratio_10                 : 21.960011
prc_trend                           : 18.132904
volume_zscore                       : 7.444131
macd_hist                           : 7.247426
price_zscore_200                    : 7.005398
dist_s2                             : 6.971640
aroon_down                          : 6.949109
swing_strength_20                   : 6.797412
dist_s1                             : 6.742215
ema_stack_distance                  : 6.635851
dist_ema_200                        : 6.541918
volatility_skew                     : 6.468603
prc_momentum                        : 6.330338
hour_cos                            : 6.313564
hurst                               : 6.286106
aroon_osc                           : 6.256671
donchian_position                   : 6.230998
total_confluence                    : 6.198480
dist_bull_ob                        : 6.181672
volatility_regime                   : 6.168753
dist_r1                             : 6.162404
rsi_slope_14                        : 6.117025
dow_cos                             : 6.114813
cmf_20                              : 6.105958
dow_sin                             : 6.086569
vol_confirm_ratio                   : 6.069227
ultimate_osc                        : 6.054637
volatility_kurt                     : 6.038678
