Feature importance (gain) for TON/USDT
==================================================
prc_total                           : 67.991692
macro_confluence_score              : 57.127796
efficiency_ratio_10                 : 14.983838
prc_trend                           : 10.922861
hour_cos                            : 4.742047
dist_pivot                          : 4.673270
rel_perf_24h                        : 4.611974
dist_kama                           : 4.604903
candle_pressure                     : 4.381380
funding_slope_3                     : 4.324583
trend_consistency_20                : 4.241957
funding_rate_zscore                 : 4.194263
kst                                 : 4.180316
dow_cos                             : 4.173587
dist_ema_200                        : 4.165306
pvt                                 : 4.142676
adx_14                              : 4.069917
pct_dist_to_resistance              : 4.014278
lower_low_count_20                  : 3.997319
rsi_7                               : 3.970955
dow_sin                             : 3.933662
bb_width_percentile                 : 3.849493
dist_bull_ob                        : 3.836307
dist_s2                             : 3.835186
dist_ema_100                        : 3.811418
aroon_up                            : 3.806280
parkinson_vol                       : 3.805385
cmf_20                              : 3.803417
fib_dist_382                        : 3.800812
dist_bear_ob                        : 3.785449
