Feature importance (gain) for TRB/USDT
==================================================
efficiency_ratio_10                 : 44.489491
market_phase                        : 8.307105
prc_total                           : 7.322093
macro_confluence_score              : 6.940005
linreg_r2_14                        : 5.539731
volatility_regime                   : 4.951627
atr_band_position                   : 4.185104
starc_position                      : 4.100793
ppo                                 : 3.238443
donchian_width                      : 3.171033
dist_rolling_vwap                   : 3.017819
pvt                                 : 2.979704
gk_vol                              : 2.901541
trend_regime                        : 2.878821
vwap_decay_mean_24                  : 2.821922
close_decay_std_24                  : 2.696786
vwap                                : 2.686505
quantile_position                   : 2.625228
ema_200                             : 2.615819
parkinson_vol                       : 2.593046
prc_momentum                        : 2.574272
close_decay_mean_24                 : 2.549829
vwap_decay_std_24                   : 2.499819
r2                                  : 2.499137
obv                                 : 2.493182
keltner_width                       : 2.433807
vwap_delta_4                        : 2.416191
vwap_delta_12                       : 2.415554
volume_decay_std_24                 : 2.412589
volume_decay_mean_24                : 2.374348
