Feature importance (gain) for TRUMP/USDT
==================================================
efficiency_ratio_10                 : 112.602135
linreg_r2_14                        : 33.116680
volatility_regime                   : 19.154726
market_phase                        : 13.805841
dist_ema_9                          : 11.245111
choppiness                          : 10.507989
trend_regime                        : 10.157833
williams_r                          : 8.678703
dist_ema_21                         : 7.824088
ichimoku_chikou                     : 7.029345
adx_14                              : 6.301962
dist_vwap                           : 6.301625
btc_dist_ema200                     : 5.833739
