Feature importance (gain) for TRX/USDT
==================================================
regime_high_vol                     : 32.230309
prc_total                           : 30.660006
macro_confluence_score              : 29.870935
market_regime_code                  : 25.092983
total_confluence                    : 15.479313
bb_pct_b                            : 15.132644
gaussian_position                   : 12.643869
starc_position                      : 9.736447
bands_confluence                    : 8.982073
prc_bands                           : 8.927182
volatility_regime                   : 8.513337
atr_band_position                   : 7.743120
prc_trend                           : 7.520706
rvi_osc                             : 6.758869
market_phase                        : 6.689336
atr_percentile                      : 5.937451
rsi_14                              : 5.740823
elder_bull_bear                     : 5.593368
atr_14                              : 5.510068
cci_20                              : 5.385693
cmo_14                              : 5.368192
elder_bull                          : 5.178326
linreg_slope_14                     : 5.027320
ret_12h                             : 5.005190
atr_pct                             : 4.895823
prc_momentum                        : 4.876319
is_squeeze                          : 4.875612
ema_alignment                       : 4.774297
ichi_dist_tenkan                    : 4.616748
parkinson_vol                       : 4.608971
