Feature importance (gain) for UMA/USDT
==================================================
efficiency_ratio_10                 : 64.810684
volatility_regime                   : 12.665726
linreg_r2_14                        : 9.787544
market_phase                        : 8.306918
trend_regime                        : 7.313502
atr_14                              : 6.049894
atr_band_position                   : 5.795409
volume_decay_std_24                 : 5.699802
vwap_decay_std_24                   : 5.616375
vwap                                : 5.474084
weekly_macd                         : 5.434791
weekly_macd_hist                    : 5.390510
close_decay_std_24                  : 5.321868
kvo                                 : 5.269928
starc_position                      : 5.232879
dist_vwap                           : 5.224832
fib_range_pct                       : 5.193450
fib_dist_618                        : 5.117033
donchian_width                      : 5.086538
choppiness                          : 5.035095
volume_decay_mean_24                : 5.033908
adx_14                              : 4.965770
parkinson_vol                       : 4.907703
rolling_volatility                  : 4.879887
dist_avwap_200                      : 4.872942
returns_1h_decay_std_24             : 4.825852
btc_dist_ema200                     : 4.761412
volume_delta_14                     : 4.677689
fib_dist_236                        : 4.639206
vwap_delta_12                       : 4.605198
