Feature importance (gain) for UNI/USDT
==================================================
prc_total                           : 114.341469
macro_confluence_score              : 92.218864
efficiency_ratio_10                 : 33.806774
prc_momentum                        : 32.010330
prc_trend                           : 19.879984
pct_dist_to_support                 : 14.457939
dist_bear_ob                        : 13.716711
atr_band_position                   : 13.225349
prc_bands                           : 13.091812
williams_r                          : 10.936962
price_disp_atr_pct                  : 10.100903
btc_ratio_ma_dist                   : 10.082489
macd_signal                         : 10.067945
supertrend_dist                     : 10.028598
dist_ema_100                        : 9.812920
fib_range_pct                       : 9.780274
cmf_20                              : 9.717458
dist_ema_200                        : 9.705646
fib_dist_236                        : 9.567152
hour_sin                            : 9.540602
btc_dist_ema200                     : 9.423960
fib_dist_618                        : 9.344741
volatility_regime                   : 9.340431
vol_confirm_ratio                   : 9.247782
ultimate_osc                        : 9.235357
ema_slope_100                       : 9.228430
dist_s2                             : 9.141020
volatility_skew                     : 9.112680
price_zscore_200                    : 9.030581
candle_pressure                     : 9.005143
