Feature importance (gain) for VET/USDT
==================================================
prc_total                           : 99.145454
macro_confluence_score              : 64.019440
efficiency_ratio_10                 : 16.190023
prc_momentum                        : 7.681287
pct_dist_to_resistance              : 5.883015
pct_dist_to_support                 : 5.779223
fib_range_pct                       : 5.683329
dist_ema_200                        : 5.501056
adx_14                              : 5.486781
donchian_position                   : 5.478051
bb_width_percentile                 : 5.455325
hurst                               : 5.412523
atr_pct                             : 5.384015
obv                                 : 5.348715
fib_dist_618                        : 5.334911
dist_s1                             : 5.322835
dist_avwap_200                      : 5.302215
funding_rate_zscore                 : 5.279954
candle_pressure                     : 5.253618
fisher                              : 5.205536
btc_dist_ema200                     : 5.162888
macd_signal                         : 5.159688
ichi_dist_kijun                     : 5.108888
prc_trend                           : 5.062582
atr_expansion                       : 5.025285
entropy                             : 5.021853
dist_kama                           : 4.983343
dist_bear_ob                        : 4.965492
dist_bull_ob                        : 4.951749
choppiness                          : 4.921329
