Feature importance (gain) for WIF/USDT
==================================================
efficiency_ratio_10                 : 37.305424
macro_confluence_score              : 23.804026
prc_total                           : 20.490730
ret_4h                              : 18.306580
ichi_above_cloud                    : 14.152175
starc_position                      : 8.421768
regime_high_vol                     : 8.255405
atr_band_position                   : 7.769588
volatility_regime                   : 6.285138
ichi_dist_cloud_top                 : 5.248736
dist_hma20                          : 4.863614
obv_divergence                      : 4.683581
atr_percentile                      : 4.646200
bb_pct_b                            : 4.487082
historical_volatility               : 4.431398
kvo                                 : 4.103138
dist_s1                             : 4.036644
prc_trend                           : 3.982082
dist_bull_ob                        : 3.946615
btc_dist_ema200                     : 3.941728
dist_ema_50                         : 3.926407
momentum_confluence                 : 3.906682
kst_signal                          : 3.848707
ret_1h                              : 3.829068
dist_bear_ob                        : 3.786725
ichi_dist_kijun                     : 3.764224
ichi_dist_tenkan                    : 3.682768
dist_ema_200                        : 3.562522
price_zscore_200                    : 3.505758
pct_dist_to_resistance              : 3.500339
