Feature importance (gain) for WLFI/USDT
==================================================
efficiency_ratio_10                 : 47.229153
volatility_regime                   : 7.232526
linreg_r2_14                        : 5.924696
vwap_decay_std_24                   : 5.778967
avwap_200                           : 5.066098
rolling_volatility                  : 4.731100
market_phase                        : 4.546699
ema_200                             : 4.437688
dow_cos                             : 4.345563
close_decay_std_24                  : 4.290972
fib_range_pct                       : 4.282653
btc_dist_ema200                     : 4.270501
gk_vol                              : 4.202253
adx_14                              : 4.164328
fib_dist_382                        : 4.162647
ema_100                             : 4.134269
bb_width_percentile                 : 3.998783
eom_14                              : 3.891256
vwap                                : 3.841416
s1                                  : 3.833335
weekly_macd_signal                  : 3.807716
funding_rate_ma8                    : 3.759326
dist_bear_ob                        : 3.755762
donchian_position                   : 3.687470
supertrend                          : 3.614717
dist_vwap                           : 3.613324
kvo_signal                          : 3.605983
fib_dist_500                        : 3.467561
weekly_sma200                       : 3.464471
range_position_score                : 3.431469
