Feature importance (gain) for XAI/USDT
==================================================
efficiency_ratio_10                 : 47.365223
volatility_regime                   : 7.171855
obv                                 : 6.480796
linreg_r2_14                        : 4.925602
market_phase                        : 4.834498
atr_band_position                   : 4.517072
weekly_macd                         : 4.007478
returns_1h_decay_std_24             : 3.869223
s2                                  : 3.740208
weekly_rsi                          : 3.702218
pct_dist_to_resistance              : 3.476418
trend_regime                        : 3.413583
vwap                                : 3.299488
fib_range_pct                       : 3.157634
avwap_200                           : 3.118902
fib_dist_500                        : 2.956996
dist_r2                             : 2.920525
price_zscore_200                    : 2.901966
supertrend_dist                     : 2.898979
fib_dist_618                        : 2.759375
close_decay_std_24                  : 2.713473
dist_bull_ob                        : 2.710281
cmf_20                              : 2.670434
quantile_position                   : 2.625457
rolling_volatility                  : 2.619842
btc_dist_ema200                     : 2.619277
dist_avwap_100                      : 2.609607
dist_vwap                           : 2.596897
dist_s2                             : 2.596708
dist_avwap_200                      : 2.541661
