Feature importance (gain) for XEC/USDT
==================================================
efficiency_ratio_10                 : 58.341331
starc_position                      : 10.300336
volatility_regime                   : 6.607377
market_phase                        : 6.338943
atr_band_position                   : 5.349817
fib_range_pct                       : 4.229745
weekly_macd_hist                    : 3.946178
atr_14                              : 3.863677
vwap                                : 3.843055
weekly_macd                         : 3.668071
avwap_200                           : 3.646473
kama_10                             : 3.524769
vwap_decay_std_24                   : 3.502340
ichimoku_senkou_a                   : 3.284329
dist_vwap                           : 3.237950
vwap_decay_mean_24                  : 3.233544
donchian_width                      : 3.185245
force_index                         : 3.066241
dow_sin                             : 3.011220
dist_avwap_200                      : 2.952974
dist_ema_200                        : 2.937914
hurst                               : 2.935598
returns_1h_decay_std_24             : 2.893855
ema_9                               : 2.876260
dist_s2                             : 2.860114
volatility_kurt                     : 2.853952
vwap_delta_12                       : 2.852997
kvo_signal                          : 2.842306
kvo                                 : 2.830288
parkinson_vol                       : 2.763598
