Feature importance (gain) for XLM/USDT
==================================================
prc_total                           : 103.682869
macro_confluence_score              : 100.500519
prc_momentum                        : 59.043201
efficiency_ratio_10                 : 41.168011
starc_position                      : 17.914280
prc_volume                          : 15.487520
smart_money_confluence              : 13.750843
prc_smart_money                     : 12.170663
price_zscore_200                    : 11.610567
rsi_14                              : 11.366383
dist_r2                             : 11.044428
rolling_buy_ratio                   : 11.009254
williams_r                          : 10.632334
aroon_up                            : 10.283155
ema_stack_distance                  : 9.800457
obv                                 : 9.705070
btc_dist_ema200                     : 9.256452
parkinson_vol                       : 9.152192
dist_ema_200                        : 9.133776
rsi_21                              : 9.110168
stoch_d                             : 8.826252
rel_perf_24h                        : 8.754155
keltner_width                       : 8.702250
atr_pct                             : 8.676373
fib_range_pct                       : 8.617917
atr_band_position                   : 8.589428
hurst                               : 8.557437
dist_ema_9                          : 8.512400
funding_rate_zscore                 : 8.351696
dist_s2                             : 8.336516
