Feature importance (gain) for XRP/USDT
==================================================
macro_confluence_score              : 109.893097
prc_total                           : 101.227478
efficiency_ratio_10                 : 32.890053
starc_position                      : 17.872494
prc_momentum                        : 17.510853
dow_sin                             : 12.398535
pvt                                 : 11.916584
mfi_14                              : 11.656752
prc_bands                           : 11.534682
dist_s1                             : 10.781476
dow_cos                             : 10.758098
dist_bull_ob                        : 10.717167
dist_ema_200                        : 10.662515
btc_dist_ema200                     : 10.611582
dist_bear_ob                        : 10.552129
price_zscore_200                    : 10.448054
dist_ema_100                        : 10.404688
fib_range_pct                       : 10.348503
dist_s2                             : 10.240006
dist_r1                             : 10.239556
dist_avwap_200                      : 10.217474
rolling_volatility                  : 10.104509
btc_4h_return                       : 10.104171
tsi                                 : 10.066643
atr_percentile                      : 10.008806
fib_dist_382                        : 9.829816
vi_minus                            : 9.686728
fib_dist_236                        : 9.417562
sqz_momentum                        : 9.165462
atr_pct                             : 9.018649
