Feature importance (gain) for XTZ/USDT
==================================================
efficiency_ratio_10                 : 56.154903
linreg_r2_14                        : 9.427407
starc_position                      : 7.938089
atr_band_position                   : 6.328094
market_phase                        : 6.071065
volatility_regime                   : 4.955115
trend_regime                        : 4.531092
donchian_position                   : 3.326866
vwap_decay_mean_24                  : 3.315473
atr_14                              : 3.225546
weekly_macd                         : 3.053683
vwap                                : 2.997046
funding_rate                        : 2.939709
close_decay_std_24                  : 2.719720
donchian_width                      : 2.651233
funding_rate_ma8                    : 2.600253
vwap_delta_12                       : 2.583103
weekly_macd_signal                  : 2.568732
fib_range_pct                       : 2.511914
volume_decay_std_24                 : 2.489664
adx_14                              : 2.478648
pct_dist_to_resistance              : 2.472548
dist_kama                           : 2.397285
ichimoku_senkou_b                   : 2.362333
vwap_decay_std_24                   : 2.345803
keltner_width                       : 2.332630
kvo_signal                          : 2.326792
avwap_200                           : 2.282071
volume_decay_mean_24                : 2.270893
returns_1h_decay_std_24             : 2.269175
